LP,LC,LEX
2.80898933,3.580737295,-0.6352532106
2.737316009,3.490428515,-0.613454411
2.682666006,3.349904087,-0.5917786804
2.737413021,3.392829132,-0.5721652845
2.749719835,3.511545439,-0.5941552232
2.820540179,3.538056564,-0.5640630348
2.820540179,3.516013056,-0.5508921398
2.854154218,3.470412451,-0.5462120705
2.886675003,3.511545439,-0.5388881695
2.875951825,3.544720358,-0.5293332889
2.875951825,3.533686565,-0.4904188163
2.865112413,3.446170747,-0.4814997936
2.797486217,3.457892725,-0.4531753189
2.820540179,3.358637767,-0.4270961207
2.797641978,3.327550841,-0.3991787239
2.886959927,3.351656936,-0.4325613273
2.886959927,3.393501175,-0.4531117596
2.886959927,3.389462125,-0.4376741136
2.938901556,3.417726684,-0.4241559996
2.938901556,3.445214267,-0.4065977944
2.928726825,3.42913675,-0.4043978678
2.928726825,3.387774361,-0.4037302688
2.928726825,3.38269391,-0.3904191435
2.928726825,3.356897123,-0.3615132152
2.928726825,3.377587516,-0.3423122966
2.897566331,3.401197382,-0.3647819888
2.891770289,3.402862661,-0.376104947
2.881656228,3.407841924,-0.3533293467
2.881656228,3.38269391,-0.3288000274
2.892318735,3.387774361,-0.3201976609
2.892318735,3.349904087,-0.278464723
2.902868752,3.314186005,-0.2730759169
2.892318735,3.328626689,-0.2303177494
2.943989813,3.348148161,-0.1990147806
2.943989813,3.325036021,-0.2164008719
2.943989813,3.314186005,-0.1716818161
2.943989813,3.252310601,-0.1209779239
2.954011196,3.34462703,-0.08910917583
3.007447809,3.346389145,-0.1160036759
3.039239664,3.349904087,-0.2170449979
3.039239664,3.288401888,-0.2233835176
3.039239664,3.284663565,-0.2475629553
3.001925249,3.286534473,-0.3208508582
2.992374956,3.305053521,-0.3245442369
2.97299631,3.32323584,-0.3114474314
2.943205492,3.356897123,-0.3522752795
2.922840184,3.369018483,-0.3648514233
2.922840184,3.341093458,-0.3688702771
2.902051492,3.280911216,-0.3527673172
2.848106577,2.901421594,-0.3578142928
2.638987759,2.691243083,-0.3832194967
2.560780342,2.610069793,-0.4045313392
2.418091508,2.635479508,-0.4191049999
2.484033567,2.472327868,-0.411380912
2.434989142,2.302585093,-0.4107842748
2.484033567,2.568788134,-0.3965588964
2.560780342,2.737609003,-0.3863502467
2.560780342,2.628285233,-0.3559947182
2.545894971,2.628285233,-0.3543823169
2.545894971,2.687847494,-0.3634618659
2.645719464,2.909629575,-0.41018727
2.645719464,2.895911938,-0.4233705175
2.632054557,2.859339649,-0.4649282747
2.61820033,2.957511061,-0.4885186676
2.604151464,2.936512914,-0.5104855649
2.604151464,2.93385687,-0.4881504758
2.61820033,2.972975286,-0.476172071
2.61820033,2.983153491,-0.4684399085
2.604151464,2.890371758,-0.498469608
2.589902411,2.923161581,-0.508081858
2.575447385,2.87356464,-0.5740257521
2.545894971,2.879198457,-0.6028394741
2.530784674,2.859339649,-0.5867305608
2.515442547,2.794227897,-0.5640630348
2.487682827,2.656756907,-0.6056265882
2.491318817,2.731115474,-0.6294083353
2.496720647,2.803360381,-0.6256175311
2.542218031,2.785011242,-0.5760514032
2.537416595,2.681021529,-0.5330957899
2.529131544,2.708050201,-0.5296277477
2.50740527,2.587764035,-0.520756152
2.496004263,2.420368129,-0.5528500944
2.485196463,2.537657215,-0.592774202
2.476465324,2.681021529,-0.6033318699
2.47280473,2.839078464,-0.5736877375
2.554459751,2.800325477,-0.5619558964
2.590962576,2.901421594,-0.5391798147
2.730066914,2.957511061,-0.531921536
2.821585904,2.954910279,-0.4882732185
2.814835788,2.920469789,-0.4403173167
2.749720531,2.895911938,-0.485138514
2.658372687,2.836150204,-0.4671871672
2.710019276,2.884800713,-0.4520305805
2.715788301,2.920469789,-0.4626013022
2.70363467,2.939161922,-0.4526031161
2.661414237,2.952302716,-0.4673125175
2.717512538,3.135494216,-0.5021682571
2.713484683,2.990719732,-0.5283904528
2.670363383,2.957511061,-0.4852616348
2.773566505,2.86505395,-0.4931096164
2.749942927,2.750470917,-0.5174834044
2.743808965,2.714694744,-0.5361424232
2.717167928,2.727852828,-0.5922765614
2.903235524,3.288401888,-0.6417486117
3.070597723,3.457892725,-0.6305268104
3.102752281,3.660994251,-0.6654676187
2.936535979,3.501042717,-0.6753395616
2.774109305,3.337547355,-0.6552895306
2.819202607,3.19047635,-0.6600039557
2.737637144,3.042138646,-0.6757466713
2.700087003,3.025291076,-0.6024015662
2.764913063,2.923161581,-0.559730072
2.823719104,2.975529566,-0.5453429857
2.817635821,2.90416508,-0.5007146787
2.848182103,2.93385687,-0.5009570949
